"","year","price","Location"
"609",2022,72.9,"Albany"
"610",2019,31.995,"Albany"
"611",2020,34.513,"Albany"
"612",2017,24.01,"Albany"
"613",2021,55.508,"Albany"
"614",2021,45,"Albany"
"615",2016,27.9,"Albany"
"616",2018,34.5,"Albany"
"617",2016,24.9,"Albany"
"618",2021,38.117,"Albany"
"619",2019,46.9,"Albany"
"620",2021,37.897,"Albany"
"621",2018,26.195,"Albany"
"622",2022,55.995,"Albany"
"623",2022,44,"Albany"
"624",2020,34.5,"Albany"
"625",2022,55.8,"Albany"
"626",2022,37.998,"Albany"
"627",2020,32.999,"Albany"
"628",2019,33.298,"Albany"
"629",2018,26.995,"Albany"
"630",2007,9,"Albany"
"631",2021,51.9,"Albany"
"632",2021,39.2,"Albany"
"633",2019,27.478,"Albany"
"634",2022,44.884,"Albany"
"635",2023,45.995,"Albany"
"636",2023,49.9,"Albany"
"637",2023,80,"Albany"
"638",2020,34.5,"Albany"
"639",2021,37.6,"Albany"
"640",2013,10.5,"Albany"
"641",2021,40.7,"Albany"
"642",2022,46,"Albany"
"643",2023,46.975,"Albany"
"644",2016,28.048,"Albany"
"645",2022,42.431,"Albany"
"646",2021,35.5,"Albany"
"647",2021,38,"Albany"
"648",2023,50.7,"Albany"
"649",2016,23.877,"Albany"
"650",2022,41.595,"Albany"
"651",2021,35.9,"Albany"
"652",2023,86.99,"Albany"
"653",2023,41.3,"Albany"
"654",2022,51.5,"Albany"
"655",2020,36.714,"Albany"
"656",2012,16.488,"Albany"
"657",2021,38.95,"Albany"
"658",2013,9.919,"Albany"
"659",2022,60.9,"Albany"
"660",2018,31.5,"Albany"
"661",2021,41.619,"Albany"
"662",2023,44,"Albany"
"663",2020,27.7,"Albany"
"664",2022,62.915,"Albany"
"665",2012,25.386,"Albany"
"666",2023,81.797,"Albany"
"667",2022,45.9,"Albany"
"668",2018,30.9,"Albany"
"669",2021,34.9,"Albany"
"670",2023,44.99,"Albany"
"671",2023,65.99,"Albany"
"672",2016,27.995,"Albany"
"673",2021,32.995,"Albany"
"674",2020,34,"Albany"
"675",2020,29.995,"Albany"
"676",2021,38.995,"Albany"
"677",2023,63,"Albany"
"678",2020,36.4,"Albany"
"679",2016,20.995,"Albany"
"680",2022,56.9,"Albany"
"681",2022,29.994,"Albany"
"682",2014,20.985,"Albany"
"683",2023,64,"Albany"
"684",2014,23.995,"Albany"
"685",2021,39.995,"Albany"
"686",2020,27.684,"Albany"
"687",2019,32.328,"Albany"
"688",2012,17.995,"Albany"
"689",2023,51,"Albany"
"690",2022,78.985,"Albany"
"691",2020,39.996,"Albany"
"692",2020,35.231,"Albany"
"693",2021,43.999,"Albany"
"694",2021,39.913,"Albany"
"695",2022,38.994,"Albany"
"696",2020,39.995,"Albany"
"697",2014,18.99,"Albany"
"698",2018,15.956,"Albany"
"699",2019,52.995,"Albany"
"700",2018,29.9,"Albany"
"701",2022,73.708,"Albany"
"702",2021,35.5,"Albany"
"703",2021,32.9,"Albany"
"704",2023,70.557,"Albany"
"705",2023,89.99,"Albany"
"706",2021,51,"Albany"
"707",2021,37.8,"Albany"
"708",2021,34,"Albany"
"709",2021,33.495,"Albany"
"710",2021,39.987,"Albany"
"711",2021,38,"Albany"
"712",2018,35.994,"Albany"
"713",1995,13.994,"Albany"
"714",2011,10.5,"Albany"
"715",2015,20.925,"Albany"
"716",2016,28.995,"Albany"
"717",2021,39.99,"Albany"
"718",2019,26,"Albany"
"719",2022,42.5,"Albany"
"720",2018,26.995,"Albany"
"721",2022,41.292,"Albany"
"722",2021,29.9,"Albany"
"723",2018,30.995,"Albany"
"724",2016,30,"Albany"
"725",2015,30.999,"Albany"
"726",2016,29.995,"Albany"
"727",2022,44.99,"Albany"
"728",2022,49.966,"Albany"
"729",2022,79.485,"Albany"
"730",2019,29.9,"Albany"
"731",2020,48.99,"Albany"
"732",2022,46.995,"Albany"
"733",2021,39.685,"Albany"
"734",2021,45.85,"Albany"
"735",2022,61.995,"Albany"
"736",2018,31.841,"Albany"
"737",2020,30.968,"Albany"
"738",2023,57.5,"Albany"
"739",2021,38,"Albany"
"740",2022,43.762,"Albany"
"741",2019,30.5,"Albany"
"742",2021,43.99,"Albany"
"743",2020,32.064,"Albany"
"744",2017,29.995,"Albany"
"745",2020,41.987,"Albany"
"746",2015,23,"Albany"
"747",2021,40.995,"Albany"
"748",2020,59.854,"Albany"
"749",2020,29,"Albany"
"750",2021,42.204,"Albany"
"751",2021,39.935,"Albany"
"752",2021,37.252,"Albany"
"753",2021,42.85,"Albany"
"754",2021,39.999,"Albany"
"755",2023,72.99,"Albany"
"756",2018,20.975,"Albany"
"757",2020,35.99,"Albany"
"758",2022,46.5,"Albany"
"759",2019,38.5,"Albany"
"760",2022,41.197,"Albany"
"761",2020,35.7,"Albany"
"762",2023,49.85,"Albany"
"763",2020,30,"Albany"
"764",2015,20.545,"Albany"
"765",2022,42.26,"Albany"
"766",2012,12.75,"Albany"
"767",2020,37.745,"Albany"
"768",2023,48.9,"Albany"
"769",2022,44,"Albany"
"770",2019,32.266,"Albany"
"771",2021,42.437,"Albany"
"772",2020,31.9,"Albany"
"773",2020,36.978,"Albany"
"774",2021,41.985,"Albany"
"775",2021,45.99,"Albany"
"776",2021,37.87,"Albany"
"777",2018,31.999,"Albany"
"778",2015,15.919,"Albany"
"779",2021,38.99,"Albany"
"780",2021,33.723,"Albany"
"781",2021,43.987,"Albany"
"782",2023,46.989,"Albany"
"783",2023,62,"Albany"
"784",2022,39.895,"Albany"
"785",2023,47.572,"Albany"
"786",2017,24.95,"Albany"
"787",2014,19.995,"Albany"
"788",2023,57,"Albany"
"789",2021,36.995,"Albany"
"790",2018,31.995,"Albany"
"791",2020,37.9,"Albany"
"792",2016,26.5,"Albany"
"793",2020,25.495,"Albany"
"794",2021,42.642,"Albany"
"795",2023,48.9,"Albany"
"796",2021,32.958,"Albany"
"797",2018,27.995,"Albany"
"798",2018,32.121,"Albany"
"799",2021,33.9,"Albany"
"800",2021,38.5,"Albany"
"801",2022,58.9,"Albany"
"802",2021,44.99,"Albany"
"803",2021,38.995,"Albany"
"804",2019,28.988,"Albany"
"805",2018,24.486,"Albany"
"806",2012,15.5,"Albany"
"807",2020,56.5,"Albany"
"808",2021,35.995,"Albany"
"809",2018,28.997,"Albany"
"810",2012,6.449,"Albany"
"811",2021,38.9,"Albany"
"812",2023,54.988,"Albany"
"813",2021,37.7,"Albany"
"814",2020,48.3,"Albany"
"815",2014,18.984,"Albany"
"816",2023,39.908,"Albany"
"817",2020,41.997,"Albany"
"818",2017,25.99,"Albany"
"819",2019,35.995,"Albany"
"820",2019,36.995,"Albany"
"821",2022,69.9,"Albany"
"822",2022,60.9,"Albany"
"823",2010,12.5,"Albany"
"824",2021,40,"Albany"
"825",2020,24.5,"Albany"
"826",2019,53.99,"Albany"
"827",2021,38.4,"Albany"
"828",2017,33.64,"Albany"
"829",2018,26.3,"Albany"
"830",2021,37.5,"Albany"
"831",2018,54.29,"Albany"
"832",2021,37.495,"Albany"
"833",2021,41.054,"Albany"
"834",2018,26.2,"Albany"
"835",2021,37.995,"Albany"
"836",2020,33.2,"Albany"
"837",2023,63.414,"Albany"
"838",2020,50.5,"Albany"
"839",2018,51.99,"Albany"
"840",2021,34,"Albany"
"841",2020,35,"Albany"
"842",2019,36.985,"Albany"
"843",2018,42,"Albany"
"844",2018,23.2,"Albany"
"845",2020,56.995,"Albany"
"846",2021,49.99,"Albany"
"847",2020,35.995,"Albany"
"848",2013,15.5,"Albany"
"849",2021,47.9,"Albany"
"850",2019,30.991,"Albany"
"851",2021,35.224,"Albany"
"852",2020,30.995,"Albany"
"853",2018,20.879,"Albany"
"854",2019,22.498,"Albany"
"855",2021,30,"Albany"
"856",2021,32.995,"Albany"
"857",2021,29.9,"Albany"
"858",2021,40.995,"Albany"
"859",2021,29.188,"Albany"
"860",2017,13.995,"Albany"
"861",2020,28.3,"Albany"
"862",2021,57,"Albany"
"863",2023,42.408,"Albany"
"864",2017,17.877,"Albany"
"865",2021,42.7,"Albany"
"866",2021,27.555,"Albany"
"867",2020,27.3,"Albany"
"868",2019,17,"Albany"
"869",2021,29.991,"Albany"
"870",2020,32.99,"Albany"
"871",2022,30.99,"Albany"
"872",2022,40,"Albany"
"873",2018,23.9,"Albany"
